register_number,student_name,department,degree,batch,college_email,mobile_no,cgpa,active_arrears
312421104010,Aadhavan K,CSE,B.E.,2022-2026,312421104010@stjosephstechnology.ac.in,+919840112340,8.82,0
312421104011,Abinaya S,CSE,B.E.,2022-2026,312421104011@stjosephstechnology.ac.in,+919840112341,9.15,0
312421104012,Ananya R,IT,B.Tech,2022-2026,312421104012@stjosephstechnology.ac.in,+919840112342,8.45,0
312421104013,Bala Murugan G,IT,B.Tech,2022-2026,312421104013@stjosephstechnology.ac.in,+919840112343,7.60,0
312421104014,Deepak Kumar S,ADS,B.Tech,2022-2026,312421104014@stjosephstechnology.ac.in,+919840112344,8.90,0
312421104015,Gowtham P,ADS,B.Tech,2022-2026,312421104015@stjosephstechnology.ac.in,+919840112345,8.20,0
312421104016,Harini V,ECE,B.E.,2022-2026,312421104016@stjosephstechnology.ac.in,+919840112346,8.75,0
312421104017,Jeeva N,ECE,B.E.,2022-2026,312421104017@stjosephstechnology.ac.in,+919840112347,7.10,1
312421104018,Kavya M,EEE,B.E.,2022-2026,312421104018@stjosephstechnology.ac.in,+919840112348,8.35,0
312421104019,Manikandan R,EEE,B.E.,2022-2026,312421104019@stjosephstechnology.ac.in,+919840112349,6.90,0
312421104020,Naveen Kumar T,MECH,B.E.,2022-2026,312421104020@stjosephstechnology.ac.in,+919840112350,7.85,0
312421104021,Pavithra S,CSE,B.E.,2022-2026,312421104021@stjosephstechnology.ac.in,+919840112351,8.60,0
312421104022,Praveen Raj V,CSE,B.E.,2022-2026,312421104022@stjosephstechnology.ac.in,+919840112352,7.95,0
312421104023,Rahul S,IT,B.Tech,2022-2026,312421104023@stjosephstechnology.ac.in,+919840112353,8.40,0
312421104024,Rohit K,ADS,B.Tech,2022-2026,312421104024@stjosephstechnology.ac.in,+919840112354,8.10,0
312421104025,Sangeetha M,ECE,B.E.,2022-2026,312421104025@stjosephstechnology.ac.in,+919840112355,8.95,0
312421104026,Santhosh Kumar B,CSE,B.E.,2022-2026,312421104026@stjosephstechnology.ac.in,+919840112356,8.55,0
312421104027,Swetha R,IT,B.Tech,2022-2026,312421104027@stjosephstechnology.ac.in,+919840112357,9.05,0
312421104028,Vignesh P,MECH,B.E.,2022-2026,312421104028@stjosephstechnology.ac.in,+919840112358,7.40,0
312421104029,Yogeshwaran S,CSE,B.E.,2022-2026,312421104029@stjosephstechnology.ac.in,+919840112359,8.70,0
